"Year_F","Species","emmean","SE","df","asymp.LCL","asymp.UCL",".group"
"2015","Millepora intricata",5.57587504197931,174.845445897454,Inf,-337.114901777877,348.266651861836," 1"
"1997","Millepora intricata",5.5758750443979,86.384000388049,Inf,-163.733654556672,174.885404645468," 1"
"1983","Millepora intricata",5.5758750497667,143.534487308154,Inf,-275.746550613638,286.898300713171," 1"
"2016","Millepora intricata",5.57587506290523,562.049472660572,Inf,-1096.02084888155,1107.17259900736," 1"
"1998","Millepora intricata",NA,NA,NA,NA,NA,""
"1997","Pavona varians",-1.07256893977281,0.137892592657386,Inf,-1.34283345511614,-0.802304424429484," 1  "
"2016","Pavona varians",0.917321185619247,0.234607392703512,Inf,0.457499145413518,1.37714322582498,"  2 "
"1998","Pavona varians",0.972032294336128,0.124081521037399,Inf,0.728836981955878,1.21522760671638,"  2 "
"2015","Pavona varians",1.24186679184331,0.316792716279559,Inf,0.620964477370762,1.86276910631587,"  23"
"1983","Pavona varians",1.90532691700173,0.215255770320258,Inf,1.4834333597096,2.32722047429386,"   3"
"1997","Pavona clavus",-1.09162036743415,0.175120141654122,Inf,-1.43484953804378,-0.748391196824522," 1 "
"2016","Pavona clavus",0.764709673786385,0.268666251800998,Inf,0.238133496395059,1.29128585117771,"  2"
"2015","Pavona clavus",1.56472647136177,0.344047260152129,Inf,0.890406232483919,2.23904671023963,"  2"
"1983","Pavona clavus",5.57587504367954,133.720267366594,Inf,-256.511032997912,267.662783085271," 12"
"1998","Pavona clavus",5.57587504399091,150.214040206966,Inf,-288.838233733914,299.989983821896," 12"
"1998","Pocillopora elegans",-1.50108594604405,0.287571216664557,Inf,-2.06471517369694,-0.937456718391151," 1 "
"1997","Pocillopora elegans",-1.43953147093847,0.294201574388712,Inf,-2.01615596093533,-0.862906980941609," 1 "
"2015","Pocillopora elegans",-0.804596380360384,0.187089880881546,Inf,-1.1712858087601,-0.437906951960664," 1 "
"2016","Pocillopora elegans",-0.640666889919159,0.281791074759114,Inf,-1.19296724761186,-0.0883665322264621," 1 "
"1983","Pocillopora elegans",1.20162668788275,0.148890311725067,Inf,0.909807039254679,1.49344633651082,"  2"
"1998","Pocillopora damicornis",-1.06757052387811,0.239291386651184,Inf,-1.53657302352508,-0.598568024231142," 1 "
"1997","Pocillopora damicornis",-0.898475616895111,0.143431480864833,Inf,-1.17959615363943,-0.617355080150793," 1 "
"2016","Pocillopora damicornis",-0.355490417839509,0.213753591431578,Inf,-0.774439758611491,0.0634589229324741," 1 "
"2015","Pocillopora damicornis",-0.30070905457491,0.171803002045849,Inf,-0.637436751020635,0.0360186418708144," 1 "
"1983","Pocillopora damicornis",0.547366472935836,0.0745984743592548,Inf,0.401156149890062,0.69357679598161,"  2"
"1997","Gardineroseris planulata",-5.5758750438157,113.166872113845,Inf,-227.378868630003,216.227118542371," 12"
"1998","Gardineroseris planulata",-0.130018583307133,0.116725420402915,Inf,-0.358796203377143,0.0987590367628783," 1 "
"1983","Gardineroseris planulata",-0.119015396427846,0.12891879683033,Inf,-0.371691595145529,0.133660802289836," 1 "
"2015","Gardineroseris planulata",0.876142849246771,0.31528505127989,Inf,0.258195503874323,1.49409019461922,"  2"
"2016","Gardineroseris planulata",1.02995676222532,0.265910329990945,Inf,0.508782092325908,1.55113143212473,"  2"
"1983","Porites lobata",-1.06757052387826,0.586141797146858,Inf,-2.21638733611969,0.0812462883631617," 1"
"1997","Porites lobata",-1.06757052387822,0.586141797153065,Inf,-2.21638733613181,0.0812462883753682," 1"
"2015","Porites lobata",-0.37036424480683,0.191565002736772,Inf,-0.74582475086922,0.0050962612555609," 1"
"2016","Porites lobata",-5.74904707173474e-14,0.255831677040924,Inf,-0.501420873104751,0.501420873104636," 1"
"1998","Porites lobata",0.040440508565597,0.225168764300306,Inf,-0.40088215990639,0.481763177037584," 1"
