"Year_F","emmean","SE","df","lower.CL","upper.CL",".group"
"1980",44.4054071267952,10.3244975502461,58,23.7386798654529,65.0721343881375,"   34567"
"1983",16.8785612458541,9.2984699732249,58,-1.73434867534967,35.4914711670579," 123456 "
"1984",-6.82087133645902,7.74535175710505,58,-22.3248773695112,8.68313469659318," 1      "
"1985",-4.33633040108068,7.55257163946367,58,-19.4544451020546,10.7817842998932," 1      "
"1986",1.13165076621327,10.3244975502461,58,-19.535076495129,21.7983780275555," 123    "
"1987",1.38101940987766,10.3244975502461,58,-19.2857078514646,22.0477466712199," 123    "
"1988",2.33675648142272,10.3244975502461,58,-18.3299707799196,23.003483742765," 1234   "
"1989",-2.03748583123209,9.19637128071862,58,-20.4460230145377,16.3710513520735," 12     "
"1990",-0.907435522544536,9.19637128071862,58,-19.3159727058501,17.501101660761," 12     "
"1992",4.26645065342774,10.3244975502461,58,-16.4002766079145,24.93317791477," 12345  "
"1993",4.94051774838261,10.3244975502461,58,-15.7262095129597,25.6072450097249," 12345  "
"1994",3.94642238655378,9.11666332861832,58,-14.3025619954072,22.1954067685148," 123    "
"1995",10.1601586253118,9.11666332861831,58,-8.08882575664913,28.4091430072728," 12345  "
"1997",14.0015782004276,8.08921528212415,58,-2.19074546281518,30.1939018636703," 12345  "
"1998",15.4992676565574,10.3066091300958,58,-5.13165204140634,36.1301873545211," 1234567"
"2000",19.657055973374,9.11666332861832,58,1.40807159141301,37.906040355335," 1234567"
"2001",20.5646229322416,10.3061821914767,58,-0.0654421552236322,41.1946880197068," 1234567"
"2002",29.0060680683275,9.11666332861832,58,10.7570836863665,47.2550524502885,"  234567"
"2003",31.3880321867605,9.11666332861831,58,13.1390478047996,49.6370165687215,"  234567"
"2004",36.4107330693615,10.3244975502461,58,15.7440058080192,57.0774603307038,"  234567"
"2005",34.9533522367805,9.11666332861831,58,16.7043678548195,53.2023366187415,"  234567"
"2006",43.4561083491678,10.3061821914767,58,22.8260432617025,64.086173436633,"   34567"
"2007",38.3401117337251,9.11666332861831,58,20.0911273517641,56.5890961156861,"   34567"
"2010",43.3277444742328,9.11666332861831,58,25.0787600922718,61.5767288561938,"    4567"
"2014",42.555983479594,8.49643328039938,58,25.5485244293451,59.5634425298429,"     567"
"2015",47.7554658756552,9.1166633286183,58,29.5064814936942,66.0044502576161,"      67"
"2016",40.0162196306878,9.11666332861831,58,21.7672352487268,58.2652040126488,"   34567"
"2017",54.7927038094147,9.1166633286183,58,36.5437194274538,73.0416881913757,"       7"
"2018",56.3496988781358,9.11666332861831,58,38.1007144961748,74.5986832600968,"       7"
